TARS_ROV_NEV	TARS_HOSZ_NEV	CÍM_EGYBEN	TARS_TIPUS_MEGNEV	TARS_TIPUS_KOD	ADOSZAM	GAZD_FORM	GAZD_FORM_KOD	CEG_ALL	CEG_ALL_KOD	NEMGAZD_AG_MEGNEV	NEMGAZD_AG_KOD	NEMGAZD_AGAZAT_MEGNEV	NEMGAZD_AGAZAT_KOD	NEMGAZD_SZAKAGAZAT_MEGNEV	NEMGAZD_SZAKAGAZAT_KOD	JEGYZ_TOKE_ERT_HUF	ORSZAG	ORSZAG_KOD	REGIO	REGIO_KOD	MEGYE	MEGYE_KOD	TELEPULES	TELEPULES_KOD	ASZ_EVE
VVSI NONPROFIT KFT.	VELENCEI-TAVI VÍZI SPORTISKOLA NONPROFIT KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	2484 Gárdony (Agárd) Tópart utca 17.	Gazdasági Társaság	1	14283071-2-07	Nonprofit Korlátolt Felelõsségû Társaság	12	Végelszámolás alatt	5	Oktatás	P	Oktatás	85	Sport\, szabadidõs képzés	8551	1000000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Gárdony	874	2013
VVSI NONPROFIT KFT.	VELENCEI-TAVI VÍZI SPORTISKOLA NONPROFIT KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	2484 Gárdony (Agárd) Tópart utca 17.	Gazdasági Társaság	1	14283071-2-07	Nonprofit Korlátolt Felelõsségû Társaság	12	Végelszámolás alatt	5	Oktatás	P	Oktatás	85	Sport\, szabadidõs képzés	8551	1000000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Gárdony	874	2012
LATORCAI 2009 S.R.O.	LATORCAI 2009 S.R.O.	943 57 Kamenín (Kéménd) Kamenín utca 57	Gazdasági Társaság	1	99990003-0-00 	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Építõipar	F	Speciális szaképítés	43	Egyéb befejezõ építés m.n.s.	4339	1486150	Szlovákia	SK	Egyéb	8	Egyéb	21	Kéménd	3386	2014
SC SZABOLCS-HAR SRL	SC SZABOLCS-HAR SRL	530130 Miercurea Ciuc (Csíkszereda)\, Str. Kossuth Lajos u. 21.	Gazdasági Társaság	1	99990005-0-00 	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Szakmai\, tudományos\, mûszaki tevékenység	M	Üzletvezetési\, vezetõi tanácsadás	70	Üzletviteli\, egyéb vezetési tanácsadás	7022	5114911	Románia	RO	Egyéb	8	Egyéb	21	Csíkszereda	3321	2014
VVSI NONPROFIT KFT.	VELENCEI-TAVI VÍZI SPORTISKOLA NONPROFIT KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	2484 Gárdony (Agárd) Tópart utca 17.	Gazdasági Társaság	1	14283071-2-07	Nonprofit Korlátolt Felelõsségû Társaság	12	Végelszámolás alatt	5	Oktatás	P	Oktatás	85	Sport\, szabadidõs képzés	8551	1000000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Gárdony	874	2014
SC SZABOLCS-HAR SRL	SC SZABOLCS-HAR SRL	530130 Miercurea Ciuc (Csíkszereda)\, Str. Kossuth Lajos u. 21.	Gazdasági Társaság	1	99990005-0-00 	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Szakmai\, tudományos\, mûszaki tevékenység	M	Üzletvezetési\, vezetõi tanácsadás	70	Üzletviteli\, egyéb vezetési tanácsadás	7022	5114911	Románia	RO	Egyéb	8	Egyéb	21	Csíkszereda	3321	2015
LATORCAI 2009 S.R.O.	LATORCAI 2009 S.R.O.	943 57 Kamenín (Kéménd) Kamenín utca 57	Gazdasági Társaság	1	99990003-0-00 	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Építõipar	F	Speciális szaképítés	43	Egyéb befejezõ építés m.n.s.	4339	1486150	Szlovákia	SK	Egyéb	8	Egyéb	21	Kéménd	3386	2015
EURÓPAI INFORMÁCIÓS PONT ÉS TURISZTIKAI NKFT.	EURÓPAI INFORMÁCIÓS PONT ÉS TURISZTIKAI NONPROFIT KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	8000 Székesfehérvár Piac tér 12-14.	Gazdasági Társaság	1	21426409-2-07	Nonprofit Korlátolt Felelõsségû Társaság	12	Végelszámolás alatt	5	Információ\, kommunikáció	J	Kiadói tevékenység	58	Folyóirat\, idõszaki kiadvány kiadása	5814	3000000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Székesfehérvár	1317	2012
LATORCAI 2009 S.R.O.	LATORCAI 2009 S.R.O.	943 57 Kamenín (Kéménd) Kamenín utca 57	Gazdasági Társaság	1	99990003-0-00 	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Építõipar	F	Speciális szaképítés	43	Egyéb befejezõ építés m.n.s.	4339	1486150	Szlovákia	SK	Egyéb	8	Egyéb	21	Kéménd	3386	2016
LATORCAI 2009 S.R.O.	LATORCAI 2009 S.R.O.	943 57 Kamenín (Kéménd) Kamenín utca 57	Gazdasági Társaság	1	99990003-0-00 	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Kereskedelem\, gépjármûjavítás	G	Gépjármû-\, motorkerékpár kereskedeleme\, javítása	45	Motorkerékpár\, -alkatrész kereskedelme\, javítása	4540	1486150	Szlovákia	SK	Egyéb	8	Egyéb	21	Kéménd	3386	2017
EURÓPAI INFORMÁCIÓS PONT ÉS TURISZTIKAI NKFT.	EURÓPAI INFORMÁCIÓS PONT ÉS TURISZTIKAI NONPROFIT KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	8000 Székesfehérvár Piac tér 12-14.	Gazdasági Társaság	1	21426409-2-07	Nonprofit Korlátolt Felelõsségû Társaság	12	Felszámolás alatt	1	Információ\, kommunikáció	J	Kiadói tevékenység	58	Folyóirat\, idõszaki kiadvány kiadása	5814	3000000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Székesfehérvár	1317	2013
SC SZABOLCS-HAR SRL	SC SZABOLCS-HAR SRL	530130 Miercurea Ciuc (Csíkszereda)\, Str. Kossuth Lajos u. 21.	Gazdasági Társaság	1	99990005-0-00 	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Szakmai\, tudományos\, mûszaki tevékenység	M	Üzletvezetési\, vezetõi tanácsadás	70	Üzletviteli\, egyéb vezetési tanácsadás	7022	5114911	Románia	RO	Egyéb	8	Egyéb	21	Csíkszereda	3321	2016
SC SZABOLCS-HAR SRL	SC SZABOLCS-HAR SRL	530130 Miercurea Ciuc (Csíkszereda)\, Str. Kossuth Lajos u. 21.	Gazdasági Társaság	1	99990005-0-00 	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Szakmai\, tudományos\, mûszaki tevékenység	M	Üzletvezetési\, vezetõi tanácsadás	70	Üzletviteli\, egyéb vezetési tanácsadás	7022	5114911	Románia	RO	Egyéb	8	Egyéb	21	Csíkszereda	3321	2017
EURÓPAI INFORMÁCIÓS PONT ÉS TURISZTIKAI NKFT.	EURÓPAI INFORMÁCIÓS PONT ÉS TURISZTIKAI NONPROFIT KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	8000 Székesfehérvár Piac tér 12-14.	Gazdasági Társaság	1	21426409-2-07	Nonprofit Korlátolt Felelõsségû Társaság	12	Felszámolás alatt	1	Információ\, kommunikáció	J	Kiadói tevékenység	58	Folyóirat\, idõszaki kiadvány kiadása	5814	3000000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Székesfehérvár	1317	2014
NEKSZT KFT.	NEKSZT NEMZETI ELEKTRONIKUS KÖZBESZERZÉSI SZOLGÁLTATÓ ÉS TANÁCSADÓ KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	1066 Budapest\, Mozsár utca 16.	Gazdasági Társaság	1	25948255-2-42	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Szakmai\, tudományos\, mûszaki tevékenység	M	Üzletvezetési\, vezetõi tanácsadás	70	Üzletviteli\, egyéb vezetési tanácsadás	7022	50000000	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2017
UNIVERSITAS SERVICE KÖZHASZNÚ NONPROFIT KFT.	UNIVERSITAS SERVICE KÖZHASZNÚ NONPROFIT KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	2400 Dunaújváros\, Táncsics M utca 1/a.	Gazdasági Társaság	1	22300982-2-07	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Egyéb szolgáltatás	S	Érdekképviselet	94	M.n.s. egyéb közösségi\, társadalmi tevékenység	9499	3000000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Dunaújváros	165	2010
THE HUNGARY INITIATIVES FOUNDATION	FRIENDS OF HUNGARY ALAPÍTVÁNY	1100 H Street\, NW. Suite 915 Washington\, DC 20005	Gazdasági Társaság	1	99990006-0-00 	Alapítvány	2	Mûködõ	4	Területen kívüli szervezet	U	Területen kívüli szervezet	99	Területen kívüli szervezet	9900	3388650000	Amerikai Egyesült Államok	US	Egyéb	8	Egyéb	21	Washington	3297	2013
HEMISPHERE KOCKÁZATI TÕKEALAP-KEZELÕ ZRT.	HEMISPHERE KOCKÁZATI TÕKEALAP	1118 Budapest\, Rétköz utca 5. IV. em.	Gazdasági Társaság	1	24315339-1-41	Zártkörûen Mûködõ Részvénytársaság	21	Mûködõ	4	Pénzügyi\, biztosítási tevékenység	K	Egyéb pénzügyi tevékenység	66	Alapkezelés	6630	4300000000	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2014
UNIVERSITAS SERVICE KÖZHASZNÚ NONPROFIT KFT.	UNIVERSITAS SERVICE KÖZHASZNÚ NONPROFIT KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	2400 Dunaújváros\, Táncsics M utca 1/a.	Gazdasági Társaság	1	22300982-2-07	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Egyéb szolgáltatás	S	Érdekképviselet	94	M.n.s. egyéb közösségi\, társadalmi tevékenység	9499	3000000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Dunaújváros	165	2012
LATORCAI 2009 S.R.O.	LATORCAI 2009 S.R.O.	943 57 Kamenín (Kéménd) Kamenín utca 57	Gazdasági Társaság	1	99990003-0-00 	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Építõipar	F	Speciális szaképítés	43	Egyéb befejezõ építés m.n.s.	4339	1486150	Szlovákia	SK	Egyéb	8	Egyéb	21	Kéménd	3386	2013
SC SZABOLCS-HAR SRL	SC SZABOLCS-HAR SRL	530130 Miercurea Ciuc (Csíkszereda)\, Str. Kossuth Lajos u. 21.	Gazdasági Társaság	1	99990005-0-00 	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Szakmai\, tudományos\, mûszaki tevékenység	M	Üzletvezetési\, vezetõi tanácsadás	70	Üzletviteli\, egyéb vezetési tanácsadás	7022	5114911	Románia	RO	Egyéb	8	Egyéb	21	Csíkszereda	3321	2013
UNIVERSITAS SERVICE KÖZHASZNÚ NONPROFIT KFT.	UNIVERSITAS SERVICE KÖZHASZNÚ NONPROFIT KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	2400 Dunaújváros\, Táncsics M utca 1/a.	Gazdasági Társaság	1	22300982-2-07	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Egyéb szolgáltatás	S	Érdekképviselet	94	M.n.s. egyéb közösségi\, társadalmi tevékenység	9499	3000000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Dunaújváros	165	2011
HEMISPHERE KOCKÁZATI TÕKEALAP-KEZELÕ ZRT.	HEMISPHERE KOCKÁZATI TÕKEALAP	1118 Budapest\, Rétköz utca 5. IV. em.	Gazdasági Társaság	1	24315339-1-41	Zártkörûen Mûködõ Részvénytársaság	21	Mûködõ	4	Pénzügyi\, biztosítási tevékenység	K	Egyéb pénzügyi tevékenység	66	Alapkezelés	6630	4300000000	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2015
GENERALIMPEX	GENERALIMPEX MAGYAR KÜLKERESKEDELMI VÁLLALAT	1113 Budapest\, Ulászló u.39-4. II. lph. 156. fszt.4.	Gazdasági Társaság	1	10139059-2-43	Állami Vállalat	3	Felszámolás alatt	1	Kereskedelem\, gépjármûjavítás	G	Nagykereskedelem (kivéve: jármû\, motorkerékpár)	46	Vegyestermékkörû nagykereskedelem	4690	50000000	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2010
KATONAI EMLÉKPARK KFT.	KATONAI EMLÉKPARK KÖZHASZNÚ NONPROFIT KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	8095 Pákozd Mészeg hegy  087	Gazdasági Társaság	1	22641306-2-07	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Mûvészet\, szórakoztatás\, szabadidõ	R	Könyvtári\, levéltári\, múzeumi\, egyéb kulturális tevékenység	91	Múzeumi tevékenység	9102	3010000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Pákozd	2388	2016
TÉKA KÖNYVÉRTÉKESÍTÕ ÉS KÖNYVKIADÓ VÁLLALAT	TÉKA KÖNYVÉRTÉKESÍTÕ ÉS KÖNYVKIADÓ VÁLLALAT	1134 Budapest\, Váci út 19.	Gazdasági Társaság	1	10013319-2-41	Állami Vállalat	3	Felszámolás alatt	1	Kereskedelem\, gépjármûjavítás	G	Nagykereskedelem (kivéve: jármû\, motorkerékpár)	46	Vegyestermékkörû nagykereskedelem	4690	551882000	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2010
EMG	ELEKTRONIKUS MÉRÕKÉSZÜLÉKEK GYÁRA	1163 Budapest\, Cziráky u.  26-32.	Gazdasági Társaság	1	10002072-2-42	Állami Vállalat	3	Felszámolás alatt	1	Feldolgozóipar	C	Ipari gép\, berendezés\, eszköz javítása\, üzembe helyezése	33	Elektronikus\, optikai eszköz javítása	3313	905916000	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2011
KATONAI EMLÉKPARK KFT.	KATONAI EMLÉKPARK KÖZHASZNÚ NONPROFIT KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	8095 Pákozd Mészeg hegy  087	Gazdasági Társaság	1	22641306-2-07	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Mûvészet\, szórakoztatás\, szabadidõ	R	Könyvtári\, levéltári\, múzeumi\, egyéb kulturális tevékenység	91	Múzeumi tevékenység	9102	510000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Pákozd	2388	2014
EMG	ELEKTRONIKUS MÉRÕKÉSZÜLÉKEK GYÁRA	1163 Budapest\, Cziráky u.  26-32.	Gazdasági Társaság	1	10002072-2-42	Állami Vállalat	3	Felszámolás alatt	1	Feldolgozóipar	C	Ipari gép\, berendezés\, eszköz javítása\, üzembe helyezése	33	Elektronikus\, optikai eszköz javítása	3313	905916000	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2010
BUKLÉ-BRILL BT.	BUKLÉ-BRILL KERESKEDELMI ÉS SZOLGÁLTATÓ BETÉTI TÁRSASÁG	1191 Budapest Szabó Ervin  utca 20.	Gazdasági Társaság	1	29083334-1-43	Betéti Társaság	4	Mûködõ	4	Feldolgozóipar	C	Textília gyártása	13	Konfekcionált textiláru gyártása (kivéve: ruházat)	1392	100000	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2015
KATONAI EMLÉKPARK KFT.	KATONAI EMLÉKPARK KÖZHASZNÚ NONPROFIT KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	8095 Pákozd Mészeg hegy  087	Gazdasági Társaság	1	22641306-2-07	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Mûvészet\, szórakoztatás\, szabadidõ	R	Könyvtári\, levéltári\, múzeumi\, egyéb kulturális tevékenység	91	Múzeumi tevékenység	9102	3010000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Pákozd	2388	2017
CHOCOCHIP BT.	CHOCOCHIP BETÉTI TÁRSASÁG	1023 Budapest Frankel Leó út 55.\, V.\\1.ajtó	Gazdasági Társaság	1	20957492-1-41	Betéti Társaság	4	Kényszertörlés alatt	2	Egyéb szolgáltatás	S	Egyéb személyi szolgáltatás	96	Fodrászat\, szépségápolás	9602	40000	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2014
KATONAI EMLÉKPARK KFT.	KATONAI EMLÉKPARK KÖZHASZNÚ NONPROFIT KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	8095 Pákozd Mészeg hegy  087	Gazdasági Társaság	1	22641306-2-07	Nonprofit Korlátolt Felelõsségû Társaság	12	Mûködõ	4	Mûvészet\, szórakoztatás\, szabadidõ	R	Könyvtári\, levéltári\, múzeumi\, egyéb kulturális tevékenység	91	Múzeumi tevékenység	9102	3010000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Pákozd	2388	2015
SZÁM-MIX BT.	SZÁM-MIX SZÁMVITELI TANÁCSADÓ BETÉTI TÁRSASÁG	1188 Budapest Zrínyi utca 21./b.	Gazdasági Társaság	1	21408348-2-43	Betéti Társaság	4	Mûködõ	4	Szakmai\, tudományos\, mûszaki tevékenység	M	Jogi\, számviteli\, adószakértõi tevékenység	69	Számviteli\, könyvvizsgálói\, adószakértõi tevékenység	6920	20000	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2017
BAUMIX KFT.	BAUMIX ÉPÍTÕIPARI ÉS KERESKEDELMI KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	2400 Dunaújváros Papírgyári út 49.	Gazdasági Társaság	1	11781525-2-07	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Kereskedelem\, gépjármûjavítás	G	Nagykereskedelem (kivéve: jármû\, motorkerékpár)	46	Fa-\, építõanyag-\, szaniteráru-nagykereskedelem	4673	153300000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Dunaújváros	165	2012
RADIANT ÜZLETVITELI BT.	RADIANT ÜZLETVITELI\, GAZDASÁGI TANÁCSADÓ BETÉTI TÁRSASÁG	1142 Budapest Kassai tér 24.\, I.\\3.ajtó	Gazdasági Társaság	1	21461510-2-42	Betéti Társaság	4	Mûködõ	4	Szakmai\, tudományos\, mûszaki tevékenység	M	Üzletvezetési\, vezetõi tanácsadás	70	Üzletviteli\, egyéb vezetési tanácsadás	7022	40000	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2015
BAUMIX KFT.	BAUMIX ÉPÍTÕIPARI ÉS KERESKEDELMI KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	2400 Dunaújváros Papírgyári út 49.	Gazdasági Társaság	1	11781525-2-07	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Kereskedelem\, gépjármûjavítás	G	Nagykereskedelem (kivéve: jármû\, motorkerékpár)	46	Fa-\, építõanyag-\, szaniteráru-nagykereskedelem	4673	153300000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Dunaújváros	165	2014
EGA-GROUP BT.	EGA-GROUP KERESKEDELMI ÉS SZOLGÁLTATÓ BETÉTI TÁRSASÁG	1039 Budapest Juhász Gyula út 8.\, IX./85.ajtó	Gazdasági Társaság	1	22579892-2-41	Betéti Társaság	4	Felszámolás alatt	1	Kereskedelem\, gépjármûjavítás	G	Kiskereskedelem (kivéve: gépjármû\, motorkerékpár)	47	Egyéb nem bolti\, piaci kiskereskedelem	4799	30000	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2017
BAUMIX KFT.	BAUMIX ÉPÍTÕIPARI ÉS KERESKEDELMI KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	2400 Dunaújváros Papírgyári út 49.	Gazdasági Társaság	1	11781525-2-07	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Kereskedelem\, gépjármûjavítás	G	Nagykereskedelem (kivéve: jármû\, motorkerékpár)	46	Fa-\, építõanyag-\, szaniteráru-nagykereskedelem	4673	153300000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Dunaújváros	165	2015
ÚJ MÉDIA ÉS TELETEXT KFT.	ÚJ MÉDIA ÉS TELETEXT SZOLGÁLTATÓ KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	1037 Budapest\, Kunigunda útja 64.	Gazdasági Társaság	1	10229868-4-41	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Információ\, kommunikáció	J	Információs szolgáltatás	63	Világháló-portál szolgáltatás	6312	86000000	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2017
BAUMIX KFT.	BAUMIX ÉPÍTÕIPARI ÉS KERESKEDELMI KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	2400 Dunaújváros Papírgyári út 49.	Gazdasági Társaság	1	11781525-2-07	Korlátolt Felelõsségû Társaság	8	Felszámolás alatt	1	Kereskedelem\, gépjármûjavítás	G	Nagykereskedelem (kivéve: jármû\, motorkerékpár)	46	Fa-\, építõanyag-\, szaniteráru-nagykereskedelem	4673	153300000	Magyarország	HU	Közép-Dunántúl régió	5	Fejér	7	Dunaújváros	165	2013
ÚJ MÉDIA ÉS TELETEXT KFT.	ÚJ MÉDIA ÉS TELETEXT SZOLGÁLTATÓ KORLÁTOLT FELELÕSSÉGÛ TÁRSASÁG	1037 Budapest\, Kunigunda útja 64.	Gazdasági Társaság	1	10229868-4-41	Korlátolt Felelõsségû Társaság	8	Mûködõ	4	Információ\, kommunikáció	J	Információs szolgáltatás	63	Világháló-portál szolgáltatás	6312	86000000	Magyarország	HU	Közép-Magyarország régió	6	Budapest	1	Budapest	60	2016
